,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10,Cluster11,Cluster12,Cluster13,Cluster14
0,111020,111010,111112,111067,111019,111011,111008,111004,111105,111006,111438,111003,112154,111027,111001
1,111022,111226,111166,111110,111055,111042,111026,111032,111618,111065,112054,111015,112162,111035,111007
2,111023,111413,111175,111156,111059,111043,111031,111068,112072,111084,112197,111017,112175,111037,111013
3,111024,111437,111242,111169,111113,111050,111061,111593,112265,111093,112203,111038,112190,111044,111018
4,111040,111578,112137,111170,111114,111051,111117,111668,111202,111096,111373,111046,112207,111048,111021
5,111123,111674,112144,111173,111138,111052,111120,111079,111424,111097,111887,111049,112219,111080,111029
6,111183,111690,117116,111191,111154,111054,111121,111151,112218,111100,112044,111066,112223,111124,111030
7,111185,111833,111002,111220,111277,111056,111558,111682,111012,111103,112063,111071,112227,111130,111033
8,111201,112037,111229,111223,111396,111070,111576,111999,112210,111119,112065,111083,112231,111131,111047
9,111203,112142,111265,111224,111401,111111,111584,111664,0,111193,112174,111087,112232,111142,111053
10,111206,112167,111629,111231,111414,111139,111613,111882,0,111267,112217,111090,111858,111147,111077
11,111218,112186,111649,111417,111623,111144,111654,111163,0,111549,112238,111094,111892,111149,111081
12,111550,112195,112150,111428,111653,111196,111700,111410,0,111582,112240,111095,112151,111159,111086
13,112070,112235,111330,111430,111845,111393,111708,112075,0,111583,112247,111099,112176,111160,111107
14,112094,112244,111407,111431,112033,111416,111720,117001,0,111609,111014,111125,112226,111171,111109
15,112097,112252,111571,111555,112048,111436,111821,111246,0,111657,111774,111127,112255,111176,111128
16,112118,117105,111579,111585,112071,111557,111848,111570,0,111719,111895,111129,112153,111182,111132
17,112239,111271,111648,111667,112091,111598,111876,111069,0,111859,112055,111133,0,111197,111136
18,111161,111574,111738,111680,112093,111631,112103,111118,0,112130,112189,111135,0,111198,111140
19,112096,111577,111870,111689,112119,111637,112237,111274,0,112131,112249,111137,0,111199,111145
20,111075,111736,112145,111696,112138,111661,111062,111627,0,112132,113003,111143,0,111269,111146
21,0,111819,112169,111699,112168,111732,111178,111663,0,112143,112254,111148,0,111275,111180
22,0,112229,112193,111750,112248,111767,111211,112128,0,112146,0,111150,0,111389,111181
23,0,112251,111561,111751,117102,111773,111212,111039,0,112149,0,111152,0,111425,111187
24,0,0,112228,111832,111057,111896,111230,111060,0,112173,0,111155,0,111426,111188
25,0,0,112236,111885,111058,112095,111279,111194,0,112194,0,111157,0,111433,111192
26,0,0,111243,112121,111098,112099,111387,111644,0,112199,0,111158,0,111547,111205
27,0,0,111244,112129,111228,112202,111551,111681,0,112200,0,111164,0,111562,111215
28,0,0,111300,112205,111273,112220,111662,111153,0,112208,0,111167,0,111563,111225
29,0,0,112185,112211,111403,112263,111823,0,0,112222,0,111172,0,111564,111268
30,0,0,117106,0,111411,112264,112147,0,0,112243,0,111195,0,111580,111272
31,0,0,112059,0,111626,112266,112209,0,0,112246,0,111200,0,111586,111285
32,0,0,112159,0,111721,115001,111101,0,0,112250,0,111204,0,111610,111301
33,0,0,117104,0,111278,117130,111184,0,0,112253,0,111258,0,111635,111302
34,0,0,111186,0,111628,0,111399,0,0,112257,0,111270,0,111666,111388
35,0,0,111305,0,111632,0,111409,0,0,117103,0,111276,0,111670,111402
36,0,0,117101,0,112089,0,111624,0,0,111102,0,111392,0,111676,111405
37,0,0,117111,0,111009,0,111633,0,0,111122,0,111406,0,111683,111408
38,0,0,117112,0,111420,0,111864,0,0,111174,0,111418,0,111684,111412
39,0,0,112148,0,111634,0,111884,0,0,111262,0,111419,0,111685,111421
40,0,0,112156,0,112108,0,112135,0,0,111400,0,111423,0,111697,111422
41,0,0,117108,0,112139,0,112259,0,0,111604,0,111429,0,111701,111432
42,0,0,112187,0,111886,0,111115,0,0,112127,0,111546,0,111709,111560
43,0,0,112258,0,112214,0,111669,0,0,111217,0,111553,0,111710,111565
44,0,0,117118,0,0,0,112262,0,0,111245,0,111559,0,111722,111567
45,0,0,111806,0,0,0,111063,0,0,111435,0,111642,0,111735,111589
46,0,0,112182,0,0,0,111074,0,0,111726,0,111679,0,111744,111603
47,0,0,112234,0,0,0,111078,0,0,112057,0,111743,0,111762,111617
48,0,0,0,0,0,0,111390,0,0,112155,0,111745,0,111763,111643
49,0,0,0,0,0,0,111092,0,0,111398,0,111746,0,111822,111646
50,0,0,0,0,0,0,111394,0,0,111843,0,111749,0,111837,111651
51,0,0,0,0,0,0,111838,0,0,112230,0,111759,0,111839,111652
52,0,0,0,0,0,0,111875,0,0,112062,0,111818,0,111841,111656
53,0,0,0,0,0,0,111041,0,0,0,0,111842,0,111844,111673
54,0,0,0,0,0,0,112225,0,0,0,0,111861,0,111846,111686
55,0,0,0,0,0,0,111647,0,0,0,0,111867,0,111849,111733
56,0,0,0,0,0,0,111742,0,0,0,0,111883,0,111852,111758
57,0,0,0,0,0,0,117113,0,0,0,0,111890,0,111853,111836
58,0,0,0,0,0,0,112179,0,0,0,0,112069,0,111855,111862
59,0,0,0,0,0,0,112188,0,0,0,0,112073,0,111865,111874
60,0,0,0,0,0,0,111189,0,0,0,0,112078,0,111873,112074
61,0,0,0,0,0,0,111752,0,0,0,0,112081,0,111877,112077
62,0,0,0,0,0,0,111028,0,0,0,0,112088,0,111881,112080
63,0,0,0,0,0,0,112261,0,0,0,0,112092,0,112009,112082
64,0,0,0,0,0,0,111809,0,0,0,0,112101,0,112030,112085
65,0,0,0,0,0,0,0,0,0,0,0,112104,0,112031,112086
66,0,0,0,0,0,0,0,0,0,0,0,112109,0,112038,112100
67,0,0,0,0,0,0,0,0,0,0,0,112111,0,112066,112102
68,0,0,0,0,0,0,0,0,0,0,0,112112,0,112067,112105
69,0,0,0,0,0,0,0,0,0,0,0,112113,0,112076,112141
70,0,0,0,0,0,0,0,0,0,0,0,112114,0,112083,112181
71,0,0,0,0,0,0,0,0,0,0,0,112117,0,112123,112192
72,0,0,0,0,0,0,0,0,0,0,0,112120,0,112126,112201
73,0,0,0,0,0,0,0,0,0,0,0,112122,0,112160,112245
74,0,0,0,0,0,0,0,0,0,0,0,112133,0,112163,111082
75,0,0,0,0,0,0,0,0,0,0,0,112140,0,112170,111089
76,0,0,0,0,0,0,0,0,0,0,0,112152,0,112204,111091
77,0,0,0,0,0,0,0,0,0,0,0,112157,0,112216,111221
78,0,0,0,0,0,0,0,0,0,0,0,112158,0,112256,111415
79,0,0,0,0,0,0,0,0,0,0,0,112171,0,117109,111434
80,0,0,0,0,0,0,0,0,0,0,0,112183,0,111073,111645
81,0,0,0,0,0,0,0,0,0,0,0,112233,0,111210,111655
82,0,0,0,0,0,0,0,0,0,0,0,117117,0,111765,111162
83,0,0,0,0,0,0,0,0,0,0,0,111005,0,112136,111639
84,0,0,0,0,0,0,0,0,0,0,0,111404,0,112165,112134
85,0,0,0,0,0,0,0,0,0,0,0,111638,0,112178,117107
86,0,0,0,0,0,0,0,0,0,0,0,112087,0,111207,111088
87,0,0,0,0,0,0,0,0,0,0,0,112164,0,111600,111165
88,0,0,0,0,0,0,0,0,0,0,0,112180,0,111658,111650
89,0,0,0,0,0,0,0,0,0,0,0,112224,0,112098,111106
90,0,0,0,0,0,0,0,0,0,0,0,111440,0,112206,112184
91,0,0,0,0,0,0,0,0,0,0,0,111569,0,112213,0
92,0,0,0,0,0,0,0,0,0,0,0,111687,0,112215,0
93,0,0,0,0,0,0,0,0,0,0,0,111729,0,111016,0
94,0,0,0,0,0,0,0,0,0,0,0,111747,0,111034,0
95,0,0,0,0,0,0,0,0,0,0,0,112084,0,111439,0
96,0,0,0,0,0,0,0,0,0,0,0,112090,0,111587,0
97,0,0,0,0,0,0,0,0,0,0,0,111134,0,111854,0
98,0,0,0,0,0,0,0,0,0,0,0,111397,0,112161,0
99,0,0,0,0,0,0,0,0,0,0,0,112106,0,111076,0
100,0,0,0,0,0,0,0,0,0,0,0,112198,0,112191,0
101,0,0,0,0,0,0,0,0,0,0,0,111856,0,112221,0
102,0,0,0,0,0,0,0,0,0,0,0,112212,0,111104,0
103,0,0,0,0,0,0,0,0,0,0,0,111085,0,111678,0
104,0,0,0,0,0,0,0,0,0,0,0,111395,0,111866,0
105,0,0,0,0,0,0,0,0,0,0,0,111064,0,111072,0
106,0,0,0,0,0,0,0,0,0,0,0,112115,0,111214,0
107,0,0,0,0,0,0,0,0,0,0,0,112124,0,111427,0
108,0,0,0,0,0,0,0,0,0,0,0,111025,0,111860,0
109,0,0,0,0,0,0,0,0,0,0,0,111835,0,111168,0
110,0,0,0,0,0,0,0,0,0,0,0,112110,0,111772,0
111,0,0,0,0,0,0,0,0,0,0,0,111036,0,112116,0
112,0,0,0,0,0,0,0,0,0,0,0,111177,0,111141,0
113,0,0,0,0,0,0,0,0,0,0,0,111179,0,111702,0
114,0,0,0,0,0,0,0,0,0,0,0,111216,0,111213,0
115,0,0,0,0,0,0,0,0,0,0,0,111219,0,111190,0
116,0,0,0,0,0,0,0,0,0,0,0,112166,0,111599,0
117,0,0,0,0,0,0,0,0,0,0,0,111222,0,111698,0
118,0,0,0,0,0,0,0,0,0,0,0,111227,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0,112079,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,111590,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,112242,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,111045,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,111851,0,0,0
